Date,äîâø,èoóàçÇ,îÑè„çÇâcã∆óòâvó¶,âcã∆óòâvê¨í∑ó¶,îÑè„çÇê¨í∑ó¶,òJì≠ê∂éYê´ê¨í∑ó¶,ìäâ∫éëñ{óòâvó¶,å§ãÜäJî≠î‰ó¶,à◊ë÷ÉåÅ[Ég
2019/1/4,1792,2125300,8.79,-8.02,1.69,-0.64,4.28,28.76,110.91
2019/1/7,1817,1800400,8.78,-7.93,1.68,-0.63,4.27,28.76,107.73
2019/1/8,1794,1790200,8.77,-7.85,1.67,-0.62,4.26,28.76,108.49
2019/1/9,1804,1975600,8.76,-7.76,1.66,-0.61,4.25,28.76,108.8
2019/1/10,1787,1694600,8.75,-7.68,1.65,-0.6,4.24,28.76,108.76
2019/1/11,1775,2736500,8.74,-7.59,1.64,-0.59,4.23,28.76,108.2
2019/1/15,1719,4586100,8.73,-7.51,1.63,-0.58,4.22,28.76,108.47
2019/1/16,1765,4095100,8.72,-7.42,1.62,-0.57,4.21,28.76,108.42
2019/1/17,1736,2544400,8.71,-7.34,1.61,-0.56,4.2,28.76,108.49
2019/1/18,1768,1545700,8.7,-7.26,1.6,-0.55,4.19,28.76,109
2019/1/21,1770,1589200,8.69,-7.17,1.59,-0.54,4.18,28.76,109.36
2019/1/22,1772,1312500,8.68,-7.09,1.58,-0.53,4.17,28.76,109.68
2019/1/23,1757,1249300,8.67,-7,1.57,-0.53,4.16,28.76,109.69
2019/1/24,1746,1389400,8.66,-6.92,1.56,-0.52,4.15,28.77,109.47
2019/1/25,1736,1363000,8.64,-6.83,1.54,-0.51,4.14,28.77,109.6
2019/1/28,1719,1466900,8.63,-6.75,1.53,-0.5,4.13,28.77,109.78
2019/1/29,1756,2110600,8.62,-6.66,1.52,-0.49,4.12,28.77,109.32
2019/1/30,1731,1542900,8.61,-6.58,1.51,-0.48,4.11,28.77,109.21
2019/1/31,1742,1470400,8.6,-6.49,1.5,-0.47,4.1,28.77,109.43
2019/2/1,1566,6261300,8.59,-6.41,1.49,-0.46,4.09,28.77,108.98
2019/2/4,1550,3881200,8.58,-6.33,1.48,-0.45,4.08,28.77,108.91
2019/2/5,1554,2740800,8.57,-6.24,1.47,-0.44,4.07,28.77,109.53
2019/2/6,1552,1936500,8.56,-6.16,1.46,-0.43,4.06,28.77,110.03
2019/2/7,1531,2134600,8.55,-6.07,1.45,-0.42,4.05,28.77,109.88
2019/2/8,1521,2157200,8.54,-5.99,1.44,-0.41,4.04,28.77,109.95
2019/2/12,1542,2240700,8.53,-5.9,1.43,-0.4,4.03,28.77,109.87
2019/2/13,1522,2380900,8.52,-5.82,1.42,-0.39,4.02,28.78,110.51
2019/2/14,1524,2234600,8.51,-5.73,1.41,-0.38,4.01,28.78,110.56
2019/2/15,1521,2049200,8.5,-5.65,1.4,-0.37,4,28.78,110.99
2019/2/18,1540,1448700,8.49,-5.57,1.39,-0.36,3.99,28.78,110.45
2019/2/19,1545,1339400,8.48,-5.48,1.38,-0.36,3.98,28.78,110.54
2019/2/20,1549,1582000,8.47,-5.4,1.37,-0.35,3.97,28.78,110.58
2019/2/21,1564,2164300,8.46,-5.31,1.36,-0.34,3.96,28.78,110.76
2019/2/22,1564,1311500,8.45,-5.23,1.35,-0.33,3.95,28.78,110.7
2019/2/25,1553,1343000,8.44,-5.14,1.34,-0.32,3.94,28.78,110.78
2019/2/26,1551,1084500,8.43,-5.06,1.33,-0.31,3.93,28.78,110.82
2019/2/27,1553,1425600,8.42,-4.97,1.32,-0.3,3.91,28.78,111.04
2019/2/28,1560,2673300,8.41,-4.89,1.31,-0.29,3.9,28.78,110.58
2019/3/1,1572,1509500,8.4,-4.81,1.3,-0.28,3.89,28.79,110.91
2019/3/4,1569,1145600,8.39,-4.72,1.29,-0.27,3.88,28.79,111.53
2019/3/5,1578,1278300,8.38,-4.64,1.28,-0.26,3.87,28.79,112.01
